"","V1","V2","V3","V4","V5"
"1",0.01,15,1,1.8616,5
"2",0.0161538461538462,15,1,1.5474,4
"3",0.0223076923076923,15,1,1.3775,4
"4",0.0284615384615385,10,1,1.2645,4
"5",0.0346153846153846,9,1,1.1976,3
"6",0.0407692307692308,8,1,1.1473,3
"7",0.0469230769230769,6,1,1.107,3
"8",0.0530769230769231,5,1,1.0791,3
"9",0.0592307692307692,6,1,1.0601,2
"10",0.0653846153846154,4,1,1.0423,3
"11",0.0715384615384615,5,1,1.0338,2
"12",0.0776923076923077,4,1,1.0239,2
"13",0.0838461538461538,4,1,1.0169,2
"14",0.09,4,1,1.0157,2
"15",0.0961538461538461,3,1,1.01,2
"16",0.102307692307692,3,1,1.0075,2
"17",0.108461538461538,3,1,1.0061,2
"18",0.114615384615385,3,1,1.0054,2
"19",0.120769230769231,2,1,1.0037,2
"20",0.126923076923077,3,1,1.0019,2
"21",0.133076923076923,2,1,1.0017,2
"22",0.139230769230769,2,1,1.0009,2
"23",0.145384615384615,2,1,1.0017,2
"24",0.151538461538462,2,1,1.0007,2
"25",0.157692307692308,2,1,1.0007,2
"26",0.163846153846154,2,1,1.0007,2
"27",0.17,2,1,1.0005,2
"28",0.176153846153846,2,1,1.0003,2
"29",0.182307692307692,2,1,1.0004,2
"30",0.188461538461538,2,1,1.0003,2
"31",0.194615384615385,2,1,1.0002,2
"32",0.200769230769231,2,1,1.0002,2
"33",0.206923076923077,2,1,1,1
"34",0.213076923076923,2,1,1.0001,2
"35",0.219230769230769,1,1,1,1
"36",0.225384615384615,2,1,1,1
"37",0.231538461538462,1,1,1.0001,2
"38",0.237692307692308,1,1,1,1
"39",0.243846153846154,1,1,1,1
"40",0.25,1,1,1,1
